表达式,fitness,OOB fitness
"ts_max_10(common_min(common_div(close, low), common_abs(volume)))",0.04826090256439441,0.05706017641051732
"ts_max_10(common_min(common_sub(common_div(vwap, low), common_inv(volume)), common_max(common_log(vwap), common_inv(volume))))",0.04810016151261027,0.05697222961861901
"ts_max_10(common_min(common_sub(common_div(high, open), common_inv(volume)), common_div(close, common_sub(high, low))))",0.04753370369323874,0.0563905555979005
"ts_max_10(common_min(common_sub(common_div(high, open), common_inv(volume)), common_max(common_log(vwap), common_inv(volume))))",0.04735293701641705,0.056167440323516664
"ts_max_10(common_min(common_sub(common_div(high, open), common_inv(volume)), common_max(common_max(common_log(vwap), common_inv(volume)), common_inv(volume))))",0.04735293701641705,0.056167440323516664
"ts_max_10(common_min(common_sub(common_div(high, open), common_inv(volume)), common_max(common_div(close, low), common_inv(volume))))",0.04726823532684545,0.05555488494382948
"ts_max_10(common_min(common_sub(common_div(high, open), common_inv(volume)), common_abs(common_abs(volume))))",0.04701035525352043,0.0560128618331176
"ts_max_10(common_min(common_sub(common_div(high, open), common_inv(volume)), common_abs(volume)))",0.04701035525352043,0.0560128618331176
"common_div(close, common_sub(high, low))",0.04249311702468835,0.05462343667364734
"common_inv(common_div(close, common_sub(high, low)))",0.04249311187214725,0.0546234412500702
"common_log(common_div(close, low))",0.04043131548363687,0.05341944065070542
"common_inv(common_add(common_div(close, low), common_tan(0.014)))",0.04043131548363687,0.05341944065070542
"common_div(close, low)",0.04043131548363687,0.05341944065070542
"common_mul(ts_std_10(volume), close)",0.0401018298397961,0.053423218041152284
"common_sub(common_tan(vwap), common_div(close, common_sub(high, low)))",0.039220738120883614,0.05034047651706773
"common_div(common_mul(volume, close), -0.973)",0.03855349178941655,0.05510531225594289
"common_mul(volume, close)",0.03855349178941655,0.05510531225594289
"common_div(common_mul(common_abs(high), common_abs(volume)), -0.973)",0.03843363107538966,0.055047294839392504
"common_abs(common_mul(volume, vwap))",0.038318363189082404,0.05488288539954363
"common_log(common_mul(volume, vwap))",0.038304734998418036,0.054882884271330486
"ts_max_10(common_div(close, common_sub(high, low)))",0.03800140362419048,0.045862403507073775
"common_div(common_sub(high, low), low)",0.03787218437706993,0.05340328919600335
"common_mul(ts_max_10(volume), close)",0.037835157245964784,0.05150380013992274
"common_mul(ts_max_10(ts_max_10(volume)), open)",0.03684471507272726,0.04881994705384489
"common_inv(common_add(common_div(vwap, low), common_tan(0.014)))",0.035743542629497464,0.05263911264393571
"common_div(vwap, low)",0.03573227357116284,0.05263911264393571
"common_abs(common_div(vwap, low))",0.03573227357116284,0.05263911264393571
"common_inv(common_add(common_div(close, low), ts_std_10(volume)))",0.03520393049986682,0.043837240268115106
"common_div(common_mul(common_abs(high), common_div(ts_std_10(volume), open)), -0.973)",0.03506026854529418,0.04402001332172178
"common_log(common_mul(ts_max_10(ts_max_10(volume)), open))",0.034866870808995476,0.047379435972986855
"common_sub(common_tan(vwap), common_add(volume, ts_std_10(volume)))",0.034599480300789284,0.044868180118540935
"common_div(high, open)",0.03459201843686098,0.041187175875345296
"ts_std_10(common_sub(0.993, volume))",0.03455746516233496,0.04339414709147965
ts_std_10(volume),0.03455746516233496,0.04339414709147965
"common_mul(common_abs(high), common_div(0.806, open))",0.03454892559427794,0.04117968038908789
"common_div(common_mul(common_abs(high), common_div(0.806, open)), -0.973)",0.03454892559427794,0.04117968038908789
"common_log(common_sub(common_div(high, open), common_inv(volume)))",0.03451142318468827,0.04135907064334969
"common_sub(common_div(high, open), common_inv(volume))",0.03451142318468827,0.04135907064334969
"common_inv(common_add(common_inv(volume), common_tan(0.014)))",0.03444960499436443,0.04521963820885014
"common_min(common_sub(common_div(high, open), common_inv(volume)), common_abs(volume))",0.03440857985565382,0.04129707158890376
"common_sqrt(common_sub(close, low))",0.033690840174782744,0.045583148876350676
"common_sub(close, low)",0.033690840174782744,0.045583148876350676
"common_log(common_sub(common_max(ts_std_10(volume), ts_max_10(close)), common_max(ts_mean_10(open), ts_max_10(open))))",0.03366103038241894,0.042684011154642175
"common_add(common_max(vwap, volume), common_add(low, volume))",0.03328296179184264,0.04453837873136337
"common_sub(common_tan(vwap), common_add(volume, open))",0.03328228305631845,0.04454039289060227
"common_mul(volume, ts_max_10(common_min(common_sub(common_div(high, open), common_inv(volume)), common_abs(volume))))",0.03327527223690129,0.045168452270653685
"common_sub(common_div(close, common_sub(high, low)), common_add(volume, open))",0.033270117224988134,0.04453957616799223
"common_add(common_log(low), common_sub(volume, high))",0.03327001998255742,0.04453562926585059
"common_sub(low, volume)",0.033270011556511526,0.04453568536288742
"common_add(common_sub(close, volume), low)",0.033269642264304,0.04453391507208904
"common_max(common_sqrt(low), common_abs(volume))",0.03326962879762628,0.044537259212855056
"common_max(common_div(close, common_sub(high, low)), common_abs(volume))",0.033269511395147125,0.04453724435006206
volume,0.033269511395147125,0.04453724435006206
"common_div(volume, -0.973)",0.033269511395147125,0.04453724435006206
"common_div(common_add(volume, -0.744), common_log(volume))",0.033269511395147125,0.04453724435006206
common_abs(volume),0.033269511395147125,0.04453724435006206
"common_abs(common_max(common_log(volume), common_tan(0.924)))",0.033269511395147125,0.04453724435006206
"common_div(close, common_mul(volume, vwap))",0.033007076827315414,0.044293569191935576
"common_max(common_add(common_min(high, open), ts_max_10(volume)), common_add(common_sub(volume, close), ts_std_10(close)))",0.03265861360601324,0.04113585470669954
"ts_max_10(common_max(common_inv(low), common_max(volume, 0.983)))",0.03265828835919988,0.04113448080715876
"common_sqrt(common_sub(ts_mean_10(high), ts_max_10(volume)))",0.03265775290161232,0.04113321953322863
"common_mul(common_abs(common_max(common_min(vwap, low), common_add(high, -0.793))), common_min(common_sqrt(common_inv(vwap)), common_div(ts_std_10(open), common_mul(high, open))))",0.03258105893905672,0.03560336269624671
"common_log(common_sub(high, open))",0.0313599686828545,0.037949854535685536
"common_inv(ts_max_10(common_div(low, high)))",0.03134089619441876,0.04070390615135035
ts_max_10(ts_max_10(volume)),0.03112898005609783,0.038537937340188747
"common_mul(common_max(common_div(common_div(close, volume), ts_std_10(high)), common_min(common_abs(close), common_min(volume, low))), common_max(common_mul(common_mul(-0.378, low), common_div(close, high)), common_abs(common_sqrt(volume))))",0.03087302287847878,0.04405295314395193
"common_div(close, common_div(close, common_sub(high, low)))",0.030780950627759363,0.039015291414901475
common_sqrt(ts_std_10(common_abs(common_sqrt(vwap)))),0.030637718017142945,0.03689347355353672
"ts_max_10(common_sub(close, low))",0.030175094829538635,0.03803330105816015
"common_mul(common_mul(ts_std_10(common_max(vwap, -0.208)), common_sub(ts_mean_10(low), common_tan(volume))), common_inv(ts_max_10(common_mul(vwap, close))))",0.02986858378366234,0.03348957368961922
"common_max(common_min(common_sub(high, open), common_log(high)), common_mul(common_inv(-0.729), common_max(low, high)))",0.02963854413576094,0.038663814490024526
"common_sqrt(common_add(ts_mean_10(volume), common_log(close)))",0.029605891644078723,0.03812912653497499
"common_max(common_sqrt(ts_mean_10(common_inv(0.631))), common_sqrt(common_add(ts_mean_10(volume), common_log(close))))",0.029605891198699587,0.03812912653497499
ts_mean_10(volume),0.029605885489593836,0.03812908106078115
"common_add(common_min(common_max(volume, 0.256), ts_mean_10(volume)), ts_std_10(common_add(vwap, -0.860)))",0.028924454297269687,0.039814559015007286
"common_inv(common_add(common_mul(common_min(low, open), close), ts_std_10(ts_max_10(volume))))",0.028767318304152505,0.03557739248775034
"common_inv(common_sub(vwap, high))",0.028134748654389623,0.03432696731068405
"ts_max_10(common_sub(high, low))",0.027660564932233674,0.03527314320533549
"common_div(common_div(close, low), common_sub(high, low))",0.02760872751635779,0.03732120863476633
common_abs(ts_max_10(ts_std_10(common_sqrt(low)))),0.027274559167251668,0.0318369382546849
ts_std_10(high),0.026984474444234758,0.033913732023459014
"ts_std_10(common_sub(high, vwap))",0.026881744169592926,0.03289105385184989
"ts_std_10(common_abs(ts_mean_10(common_sub(vwap, high))))",0.026702712639188456,0.03439629478598221
ts_std_10(close),0.026349353594503442,0.03284910128328691
"common_sub(low, high)",0.026158231617924604,0.037244546744109576
"common_sub(high, low)",0.026158231617924604,0.037244546744109576
"common_max(common_div(common_sqrt(common_log(close)), ts_std_10(ts_std_10(high))), common_inv(ts_std_10(ts_std_10(volume))))",0.026152888794393772,0.03288292326289287
"common_min(ts_std_10(high), common_sqrt(0.729))",0.02611654043935868,0.03274188526926914
"common_sqrt(common_sub(common_sub(vwap, high), ts_std_10(open)))",0.025683497382929816,0.031927581928531304
"ts_max_10(common_min(common_sub(common_div(high, open), common_mul(volume, close)), common_abs(volume)))",0.025191288871543857,0.03664893115566773
"common_div(common_add(common_abs(low), ts_mean_10(high)), ts_std_10(ts_mean_10(high)))",0.024841196716275417,0.025554132596832552
"ts_max_10(common_min(common_sub(high, low), common_max(common_log(vwap), common_inv(volume))))",0.024736551367620013,0.032113775170197735
ts_max_10(ts_std_10(vwap)),0.02468483176099605,0.02899297745445017
ts_std_10(open),0.024425262578641065,0.029544554646387194
ts_std_10(ts_std_10(high)),0.024352679941783875,0.03129604572422714
ts_std_10(ts_std_10(close)),0.02384893617933358,0.03062390784420343
"common_sqrt(ts_mean_10(common_min(ts_max_10(vwap), ts_std_10(vwap))))",0.023538842299883612,0.02674507341375745
ts_std_10(low),0.022676300933380338,0.027400262366758375
"common_div(open, common_add(low, close))",0.02242647567536428,0.02297678321191542
"common_min(ts_std_10(low), common_sub(volume, vwap))",0.02219840508788603,0.027143606809425055
"ts_mean_10(ts_std_10(common_min(open, low)))",0.021787441351574777,0.02473612575692446
"ts_std_10(common_mul(common_min(common_sub(vwap, high), common_max(-0.902, low)), common_min(ts_mean_10(open), common_abs(close))))",0.0210907489269217,0.024620757884787226
